latitude,longitude,name,desc,color,source,precision
40.313617,-111.713732,"750 W 800 North, Orem, UT, 84059","750 W 800 N, Orem, UT 84057",,Bing Maps,address
40.633971,-111.806737,6360 South 3000 East,"6360 S 3000 E, Salt Lake City, UT 84121",,Bing Maps,address
40.6190525,-111.7894856,"Suite 210"", Salt Lake City, UT, 84121","UT-210, Salt Lake City, UT 84121",,Bing Maps,street
43.470125,-111.991576,"3100 Channing Way, Idaho Falls, ID, 83404","3100 Channing Way, Idaho Falls, ID 83404",,Bing Maps,address
41.491233,-112.025584,"950 S 500 West, Brigham City, UT, 84302","950 S 500 W, Brigham City, UT 84302",,Bing Maps,address
61.210665,-149.828653,"2801 DeBarr Rd, Anchorage, AK, 99508","2801 Debarr Rd, Anchorage, AK 99508",,Bing Maps,address
41.775744,-111.821331,"2380 North 400 East, North Logan, UT, 84341","2380 N 400 E, Logan, UT 84341",,Bing Maps,address
41.167103,-111.970274,"5322 S. 400 E. Washington Terrace, Ogden, UT, 84405","5322 S 400 E, Washington Terrace, UT 84405",,Bing Maps,address
41.16424,-111.970329,"5475 S 500 East, Ogden, UT, 84405","5475 S 500 E, Ogden, UT 84405",,Bing Maps,address
40.690092,-111.865949,"3738 South 900 East, Salt Lake City, UT, 84106","3738 S 900 E, Salt Lake City, UT 84106",,Bing Maps,address
40.0603555,-111.727863,"1000 E Hwy 6, Payson, UT, 84651","US-6 E, Payson, UT 84651",,Bing Maps,street
40.540244,-111.892186,"11620 South State Street, Draper, UT, 84020","11620 S State St, Draper, UT 84020",,Bing Maps,address
40.885891,-111.86899,"630 E Medical Dr, Bountiful, UT, 84010","630 Medical Dr, Bountiful, UT 84010",,Bing Maps,address
35.541605,-82.530488,"12 Ardmore Street, Asheville, NC, 28803","12 Ardmore St, Asheville, NC 28803",,Bing Maps,address
35.576903,-82.54929,"509 Biltmore Ave, Ashville, NC, 28801","509 Biltmore Ave, Asheville, NC 28801",,Bing Maps,address
35.184773,-83.378854,"120 Riverview Street, Franklin, NC, 28734","120 Riverview St, Franklin, NC 28734",,Bing Maps,address
35.91093,-82.062629,"125 Hospital Drive, Spruce Pine, NC, 28777","125 Hospital Dr, Spruce Pine, NC 28777",,Bing Maps,address
35.581221,-82.550104,"428 Biltmore Ave, Asheville, NC, 28801","428 Biltmore Ave, Asheville, NC 28801",,Bing Maps,address
35.663601,-82.027839,"430 Rankin Drive, Marion, NC, 28752","430 Rankin Dr, Marion, NC 28752",,Bing Maps,address
35.2552598,-82.7125698,"26 Hospital Drive, Brevard, NC, 28712","26 Hospital Dr, Brevard, NC 28712",,Bing Maps,address
35.086468,-83.185897,"190 Hospital Drive, Highlands, NC, 28741","190 Hospital Dr, Highlands, NC 28741",,Bing Maps,address
35.560402,-82.532193,"260 Crestland Road, Ashville, NC, 28803","Crestland Rd, Asheville, NC 28803",,Bing Maps,street
30.533647,-86.495695,"2190 Hwy 85 North, Niceville, FL, 32578","2190 Highway 85 N, Niceville, FL 32578",,Bing Maps,address
30.182213,-82.687692,"3140 NW Medical Center Lane, Suite 100, Lake City, FL, 32055","3140 NW Medical Center Ln, Lake City, FL 32055",,Bing Maps,address
29.663018,-82.412624,"6605 NW 9th Blvd, Gainesville, FL, 32605","6605 NW 9th Blvd, Gainesville, FL 32605",,Bing Maps,address
28.367948,-81.285636,"6680 Lake Nona Blvd, Orlando, FL, 32827","6680 Lake Nona Blvd, Orlando, FL 32827",,Bing Maps,address
30.515772,-87.21814,"8383 Davis Hwy, Pensacola, FL, 32514","8383 Davis Hwy, Pensacola, FL 32514",,Bing Maps,address
28.144844,-81.47679,"325 Cypress Parkway, Kissimmee, FL, 34758","325 Cypress Pkwy, Kissimmee, FL 34759",,Bing Maps,address
29.6315306,-81.7178006,"Hwy 20 West, Palatka, FL, 32177","Highway 20, Palatka, FL 32177",,Bing Maps,street
30.183589,-82.687679,"340 NW Commerce Dr., Lake City, FL, 32055","340 NW Commerce Dr, Lake City, FL 32055",,Bing Maps,address
28.905071,-81.244871,"1555 Saxon Blvd, Deltona, FL, 33613","1555 Saxon Blvd, Deltona, FL 32725",,Bing Maps,address
30.187744,-85.665062,"449 W 23rd St, Panama City, FL, 32405","449 W 23rd St, Panama City, FL 32405",,Bing Maps,address
28.6582633,-81.2260268,"8350 Red Bug Lake Road, Oviedo, FL, 32765","8350 Red Bug Lake Rd, Oviedo, FL 32765",,Bing Maps,address
29.175336,-82.136256,"1431 SW 1st Ave, Ocala, FL, 34474","1431 SW 1st Ave, Ocala, FL 34471",,Bing Maps,address
28.299484,-81.409488,"700 West Oak St, Kissimmee, FL, 34741","700 W Oak St, Kissimmee, FL 34741",,Bing Maps,address
30.31005,-82.975317,"1500 Ohio Ave North, Live Oak, FL, 32060","1500 Ohio Ave, Live Oak, FL 32064",,Bing Maps,address
30.160313,-82.644538,"795 SW State Road 47, Lake City, FL, 32025","795 SW State Road 47, Lake City, FL 32025",,Bing Maps,address
30.4898565,-84.2413004,"2003 Centre Point Blvd, Tallahassee, FL, 32308","2003 N Point Blvd, Tallahassee, FL 32308",,Bing Maps,address
29.662374,-82.41032,"1021 NW 64th Terrace, Gainesville, FL, 32605","1021 NW 64th Terrace, Gainesville, FL 32605",,Bing Maps,address
29.660862,-82.411752,"6500 Newberry Rd, Gainesville, FL, 32605","6500 W Newberry Rd, Gainesville, FL 32605",,Bing Maps,address
30.475883,-84.23197,"2626 Capital Medical Blvd, Tallahassee, FL, 32308","2626 Capital Medical Blvd, Tallahassee, FL 32308",,Bing Maps,address
29.171298,-82.107057,"2300 SE 17th Street, Suite 800, Ocala, FL, 34471","2300 SE 17th St, Ocala, FL 34471",,Bing Maps,address
28.814184,-81.283314,"1401 W Seminole Blvd, Sanford, FL, 32771","1401 W Seminole Blvd, Sanford, FL 32771",,Bing Maps,address
30.487427,-84.247567,"1701 Hermitage Blvd, Ste 201, Tallahassee, FL, 32308","1701 Hermitage Blvd, Tallahassee, FL 32308",,Bing Maps,address
30.454679,-86.633513,"1000 Marwalt Dr, Fort Walton Beach, FL, 32547","1000 Mar Walt Dr, Fort Walton Beach, FL 32547",,Bing Maps,address
32.941031,-97.0038675,"1151 Enterprise Drive, Suite 200A, Coppell, TX, 75019","1151 Enterprise Dr, Coppell, TX 75019",,Bing Maps,address
33.177721,-97.091171,"3535 South I-35 East, Denton, TX, 76210","3535 S I 35 E, Denton, TX 76210",,Bing Maps,address
31.0216797,-97.4792976,"3537 S I-35E, Suite 111, Denton, TX, 76107","3537 S I 35, Belton, TX 76513",,Bing Maps,address
32.829221,-97.2135,"4401 Booth Calloway Rd, North Richland Hills, TX, 76180","4401 Booth Calloway Rd, North Richland Hills, TX 76180",,Bing Maps,address
33.1817322,-96.6142807,"4500 Medical Center Dr, McKinney, TX, 75069","75069, TX",,Bing Maps,postcode
33.04541,-97.004719,"500 W Main St, Lewisville, TX, 75057","500 W Main St, Lewisville, TX 75057",,Bing Maps,address
47.0104683,-92.5129339,"6800 N McArthur Blvd, Irving, TX, 75039","6800 N McArthur Rd, Canyon, MN 55717",,Bing Maps,address
32.912859,-96.771473,"7808 Clodus Fields Drive, Dallas, TX, 75251","7808 Clodus Fields Dr, Dallas, TX 75251",,Bing Maps,address
32.900196,-97.313272,"3101 North Tarrant County Parkway, Fort Worth, TX, 76177","3101 N Tarrant Pkwy, Fort Worth, TX 76177",,Bing Maps,address
32.692372,-97.112959,"3301 Matlock Rd, Arlington, TX, 76015","3301 Matlock Rd, Arlington, TX 76015",,Bing Maps,address
33.021192,-96.766339,"3901 W 15th St, Plano, TX, 75075","3901 W 15th St, Plano, TX 75075",,Bing Maps,address
32.911946,-96.773656,"7777 Forest Lane, Dallas, TX, 75230","7777 Forest Ln, Dallas, TX 75230",,Bing Maps,address
33.150778,-96.83873,"5500 Frisco Square Blvd, Frisco, TX, 75034","5500 Frisco Square Blvd, Frisco, TX 75034",,Bing Maps,address
31.314979,-92.449483,"211 Fourth St, Alexandria, LA, 71301","211 4th St, Alexandria, LA 71301",,Bing Maps,address
32.73594,-97.3452,"900 Eighth Ave, Ft. Worth, TX, 76104","900 8th Ave, Fort Worth, TX 76104",,Bing Maps,address
33.104717,-96.82397,"3201 Dallas Pkwy, Suite 900, Frisco, TX, 75034","3201 Dallas Pkwy, Frisco, TX 75034",,Bing Maps,address
32.912132,-96.766772,"11990 N Central Expy, Dallas, TX, 75243","11990 N Central Expy, Dallas, TX 75243",,Bing Maps,address
32.74819,-97.785637,"713 East Anderson Street, Weatherford, TX, 76086","713 E Anderson St, Weatherford, TX 76086",,Bing Maps,address
26.192627,-80.193136,"5361 NW 33rd Avenue, Ft. Lauderdale, FL, 33309","5361 NW 33rd Ave, Fort Lauderdale, FL 33309",,Bing Maps,address
39.728705,-104.827479,"750 Potomac Street, Suite 201, Aurora, CO, 80011","750 Potomac St, Aurora, CO 80011",,Bing Maps,address
29.513735,-98.572251,"8109 Fredericksburg Rd, San Antonio, TX, 78229","8109 Fredericksburg Rd, San Antonio, TX 78229",,Bing Maps,address
29.527113,-98.595171,"9150 Huebner Rd, San Antonio, TX, 78240","9150 Huebner Rd, San Antonio, TX 78240",,Bing Maps,address
29.513981,-98.576518,"8026 Floyd Curl Dr, San Antonio, TX, 78229","8026 Floyd Curl Dr, San Antonio, TX 78229",,Bing Maps,address
